,SEARCHVAL,X,Y,LATITUDE,LONGITUDE
76,206A PUNGGOL PLACE SINGAPORE 821206,35587.2330776267,42344.857129287,1.39922535957607,103.901496029963
77,149 LORONG 1 TOA PAYOH SINGAPORE 310149,29162.1034324598,35108.6785482857,1.33378491718625,103.84376074201
78,HAVELOCK VIEW,27372.443122847,30261.2151605021,1.28994618456452,103.827679720482
79,117 BUKIT MERAH VIEW SINGAPORE 151117,26730.0095270369,29637.0080364477,1.28430105508162,103.821907213378
80,RIVERVALE PLAINS,35898.8238394735,41199.8434893806,1.38887019170638,103.904295614592
81,251 TAMPINES STREET 21 SINGAPORE 520251,40776.0148971966,37206.6392780393,1.35275541922653,103.948119177521
82,410 SIN MING AVENUE SINGAPORE 570410,28241.8780912329,38319.295474777,1.36282061651362,103.835492017392
83,TECK GHEE HEARTLANDS,30202.7333297832,38560.1999916546,1.36499919016779,103.853111647739
84,424 SERANGOON CENTRAL SINGAPORE 550424,32704.4325802103,36696.8455864564,1.34814738936672,103.875590835007
85,CHENG SAN CREST,29753.3009291003,39489.2179400064,1.37340092645025,103.849073244454
86,476A PASIR RIS DRIVE 6 SINGAPORE 511476,41852.3563843044,39652.7336090636,1.37487649158241,103.957791910218
87,TECK GHEE HORIZON,30594.5007115556,38507.2495744228,1.36452029379673,103.856631941425
88,235 TAMPINES STREET 21 SINGAPORE 521235,40791.5908318851,37509.1060891431,1.35549080919861,103.948259265817
89,SKYOASIS @ DAWSON,24982.7835382679,30981.3206703179,1.29645842578646,103.806207569922
90,811 FRENCH ROAD SINGAPORE 200811,31113.1670388142,32230.2951788045,1.30775370097876,103.86129187084
91,NATURE VIEW,19758.0990471318,36437.7046699263,1.34580304817683,103.759260051639
92,NTUC HEALTH (TAMPINES),41142.9880179623,36863.278181104,1.34965003102913,103.95141650923
93,ADMIRALTY FLORA,24964.462963352,46832.9132117815,1.43981455081875,103.806041331649
94,RIVERVALE ARC,36446.3709384874,41376.8997225612,1.39047126956208,103.909215796683
95,662A JURONG WEST STREET 64 SINGAPORE 641662,13467.948779189,35451.9403359666,1.33688578252671,103.702739749317
96,WEST EDGE @ BUKIT BATOK,17612.8274611402,37715.421232,1.35735758102665,103.739983046884
97,817 JURONG WEST STREET 81 SINGAPORE 640817,12686.8774965713,36316.7035621386,1.34470598575848,103.695720951625
98,229 JURONG EAST STREET 21 SINGAPORE 600229,17394.3260345552,35998.5283333808,1.34183055675235,103.738020275061
99,FENGSHAN GREENVILLE,39943.920934963,34782.7974540908,1.33083543731954,103.940641339343
100,141 JALAN BUKIT MERAH SINGAPORE 160141,27490.3191823866,28845.7921364084,1.27714559744846,103.828738908605
101,172 WOODLANDS STREET 13 SINGAPORE 730172,21787.1770799942,46188.765661126,1.43398859274828,103.777490482198
102,41 TELOK BLANGAH RISE SINGAPORE 090041,26850.7437014757,28218.4315122012,1.27147195091921,103.822992108909
103,76 TELOK BLANGAH DRIVE SINGAPORE 100076,25264.7945498116,28540.4015894178,1.27438363830311,103.808741773193
104,112 PASIR RIS STREET 11 SINGAPORE 510112,41630.3178714104,38859.8188881688,1.36770577441558,103.955796373988
105,MARSILING HEIGHTS,21856.103150907,46747.6782669537,1.43904320861563,103.778109726656
106,TENTERAM PEAK,31106.9655527016,34435.8476941995,1.32769993704525,103.861236369481
107,BOON LAY GREEN,14163.093614623,36574.0399014801,1.34703395486511,103.708985502465
108,BEDOK PUBLIC LIBRARY,38960.6737470664,34317.0640491676,1.32662388643563,103.931806159881
109,GEYLANG SERAI COMMUNITY CLUB,35080.6345046721,33196.8734551203,1.31649443408571,103.896941669743
110,JURONG CENTRAL PLAZA,15938.4831752731,36788.0290981252,1.34896996021593,103.724938358616
111,KWONG WAI SHIU HOSPITAL @ POTONG PASIR,31412.0322322669,35247.016642591,1.33503582793654,103.863977651326
112,57 LENGKOK BAHRU SINGAPORE 151057,25866.476936548,30069.3298551328,1.28821077489025,103.814148003065
113,GOLDEN TULIP,26636.2845035801,29609.9844173696,1.28405665902905,103.821065058206
114,118A CORPORATION DRIVE SINGAPORE 611118,15758.0805440806,35307.5220998973,1.3355807322376,103.723317929284
115,MCNAIR TOWERS,30949.8254712,33695.7608354706,1.32100686964356,103.85982430866
116,MACPHERSON SPRING,34319.7733666589,34062.9745867085,1.3243273088009,103.890105126775
117,406 FAJAR ROAD SINGAPORE 670406,20683.354806181,40423.5975589957,1.38185025770492,103.767573058956
118,TIONG BAHRU ORCHID,27278.9346970813,29350.1695539132,1.28170700587327,103.82683952932
119,KAMPUNG ADMIRALTY,24372.3598183701,46825.7299836185,1.43974951798078,103.800720711621
120,90 PIPIT ROAD SINGAPORE 370090,33920.9346574582,33958.1786849909,1.32337965213726,103.886521328286
121,114 BEDOK NORTH STREET 2 SINGAPORE 460114,39407.0096724788,34746.2600023691,1.33050521254379,103.93581688525
