POSTAL,LATITUDE,LONGITUDE
278004,1.310951373,103.7973008
117489,1.280709388,103.7853232
268988,1.324560204,103.807057
641629,1.343000958,103.6995093
729464,1.417501781,103.7417859
288519,1.327224632,103.8112058
289084,1.328349839,103.8052182
618425,1.340240345,103.7182317
127375,1.308689935,103.761418
598858,1.341103371,103.7658025
597365,1.326766671,103.7683422
269707,1.323835122,103.8099996
640678,1.345378503,103.7041552
588634,1.343386298,103.788524
619398,1.324601288,103.7290477
118638,1.2862834,103.7796626
637091,1.270657897,103.6320502
677899,1.38055128,103.760107
627784,1.308652926,103.6737932
609039,1.29983914,103.7389467
119014,1.286812564,103.7929934
636861,1.324436358,103.6433317
279912,1.319707224,103.7849931
276657,1.318743519,103.7886871
288917,1.329285043,103.8073234
289054,1.336515317,103.8078305
288970,1.333340411,103.8078325
639693,1.345705221,103.6841747
639694,1.345705221,103.6841747
629923,1.313938761,103.67962
629049,1.323206156,103.6732115
668726,1.359589509,103.7581658
267706,1.326598502,103.7975056
120503,1.311803089,103.7597514
619100,1.31617943,103.7203418
688645,1.393077585,103.752384
658588,1.37051051,103.7508289
589332,1.347205197,103.776308
267799,1.323220617,103.7928419
639463,1.327817473,103.655777
128763,1.308695934,103.7642931
658845,1.339000898,103.7618824
637849,1.308943808,103.6310046
629943,1.313651718,103.6802859
668286,1.376960117,103.7584368
589419,1.346916959,103.7881538
589420,1.346977275,103.7881456
589327,1.347055566,103.7765539
118521,1.276466703,103.7962789
678950,1.372388006,103.7646866
611140,1.327353468,103.7231349
679255,1.369430669,103.7684022
670271,1.377148327,103.7740238
670248,1.381371647,103.774299
287796,1.332981524,103.7999672
128156,1.308680825,103.7632619
266926,1.322742994,103.8080889
268982,1.324425325,103.8082078
638000,1.339260692,103.6902146
266920,1.323754428,103.8080779
637418,1.316567596,103.6281748
641262,1.345659089,103.7072552
267939,1.316090219,103.8023
267940,1.316023396,103.8022802
118284,1.285849423,103.7962144
628419,1.306659883,103.6585138
277469,1.32025711,103.7885889
688776,1.392053819,103.7508904
278368,1.317182122,103.7862725
267386,1.32531194,103.7940889
648261,1.351801782,103.6977108
678869,1.37151061,103.7642489
118700,1.289691771,103.774611
269483,1.32140905,103.8047103
289697,1.333925356,103.8031121
678051,1.358971589,103.7676767
608546,1.335035167,103.7398017
128289,1.311061572,103.7540306
639025,1.331623731,103.6434744
118549,1.27686888,103.7931768
639344,1.317257702,103.6546824
597430,1.328745808,103.7700731
287250,1.327508225,103.8076593
128735,1.308248435,103.7637428
279380,1.323974868,103.7878072
672629,1.386038924,103.759387
288961,1.331576251,103.8078417
118810,1.269911773,103.7961294
629841,1.333895576,103.7037583
627675,1.333818481,103.7037584
289160,1.33431216,103.805538
267376,1.325076065,103.7946142
638766,1.315684513,103.6538223
117344,1.279269617,103.7850058
640846,1.345397945,103.6917023
670631,1.386478067,103.7602565
670630,1.386685483,103.7597589
130025,1.306038797,103.7820541
286755,1.328952872,103.8058105
688292,1.390923985,103.7518529
599112,1.333782361,103.7679859
658722,1.339155939,103.7612259
609286,1.301219898,103.7467119
589181,1.342500946,103.7854326
589097,1.336832191,103.7852069
637270,1.31784868,103.6288052
681541,1.393064096,103.7447563
688565,1.391249843,103.7513894
640540,1.350592139,103.7153486
596925,1.337772151,103.7653069
118363,1.235815215,103.744546
659081,1.357795561,103.7531685
279561,1.322811535,103.7869203
266918,1.323128771,103.8082281
613339,1.338514379,103.721678
610354,1.339157885,103.7209314
276220,1.312847646,103.7818977
729910,1.406780491,103.7597519
597521,1.324982558,103.7649591
286994,1.336699563,103.8051938
637634,1.352468372,103.6816405
598787,1.340296913,103.7660572
599339,1.33303133,103.7687216
657992,1.356123649,103.7412459
609271,1.297003538,103.7521786
267644,1.325444157,103.7967143
117624,1.281461672,103.7845047
677768,1.372018723,103.7732595
719911,1.44774210489076,103.70992504834
719830,1.42294242683127,103.722086795982
588668,1.335103173,103.7878282
618683,1.331501999,103.7159679
119525,1.2782862,103.7916628
126985,1.314690851,103.7549683
127257,1.313894762,103.7578812
648502,1.352603596,103.7000156
738664,1.415407993,103.7557036
677767,1.372049609,103.773307
669087,1.359934256,103.7575931
669059,1.360296003,103.7579482
629050,1.32452849,103.6723789
139464,1.305126619,103.775649
628796,1.329255215,103.6888436
648366,1.350613672,103.6974677
669557,1.363544703,103.7660117
739909,1.416603336,103.7605398
599649,1.342104462,103.7714818
658414,1.37033735,103.7530139
628284,1.272379696,103.7143189
288116,1.339433349,103.7902451
728866,1.43070439,103.7505195
728773,1.407247751,103.7506836
678272,1.368773589,103.7760597
